chrom,start,stop,annotation,annotation_start
CP075068.1,902717,903653,"DTX-incomp_Blc66_Supercontig_3.3_1567878_1576797_DNA_TcMar"" 4452 5413",DTX
CP075068.1,937932,937965,"DTX-incomp-chim_Blc45_Supercontig_3.5_3367237_3380922_DNA_TcMar"" 8341 8374",DTX
CP075068.1,965533,965563,"RLX-incomp_Blc15_Supercontig_3.1_8229454_8232096_LTR_Gypsy_reversed"" 2541 2627",RLX
CP075068.1,965564,965611,"RLX-incomp-chim_Blc46_Cpos_C735-L-B9-Map1"" 12170 12216",RLX
CP075068.1,980628,980718,"RLX-incomp-chim_Blc46_Cpos_C735-L-B9-Map1"" 12173 12261",RLX
CP075068.1,980719,980734,"RLX-comp_Blc3_Supercontig_3.3_961573_966844_LTR_Copia"" 5151 5259",RLX
CP075068.1,997924,997981,"RLX-comp_Blc6_Supercontig_3.4_115838_126459_LTR_Gypsy_reversed"" 1537 1596",RLX
CP075068.1,1022326,1023025,"RLX-incomp_Blc3_Supercontig_3.4_2515063_2520371_LTR_Copia"" 1 700",RLX
CP075068.1,1023025,1027289,"DMX-incomp-chim_Blc52_Supercontig_3.2_5147442_5158546_DNA_hAT"" 6053 10325",DMX
CP075068.1,1027334,1028113,"DMX-incomp-chim_Blc52_Supercontig_3.2_5147442_5158546_DNA_hAT"" 10326 11103",DMX
CP075068.1,1028114,1028245,"DTX-comp-chim_Blc5_Supercontig_3.3_34249_41103_DNA_hAT_reversed"" 5333 6295",DTX
CP075068.1,1028330,1028842,"DTX-comp-chim_Blc5_Supercontig_3.3_34249_41103_DNA_hAT_reversed"" 6296 6852",DTX
CP075068.1,1028843,1029491,"RLX-comp_Blc27_Supercontig_3.2_5162302_5169224_LTR_Gypsy_reversed"" 6275 6922",RLX
CP075068.1,1029493,1030937,"RLX-incomp_Blc87_Supercontig_3.3_1941539_1948452_LTR_Gypsy_reversed"" 1 1444",RLX
CP075068.1,1030938,1030995,"DTX-incomp-chim_Blc51_Supercontig_3.4_25883_37108_DNA_TcMar_reversed"" 2903 2974",DTX
CP075068.1,1030940,1031619,"RLX-incomp_Blc107_Cpos_C735-L-B50-Map1_reversed"" 1 684",RLX
CP075068.1,1032215,1032345,"RLX-comp_Blc200_Cpos_C735-L-B64-Map1"" 360 448",RLX
CP075068.1,1032281,1037949,"RLX-comp_Blc27_Supercontig_3.2_5162302_5169224_LTR_Gypsy_reversed"" 1 5664",RLX
CP075068.1,1037950,1039273,"RLX-incomp_Blc107_Cpos_C735-L-B50-Map1_reversed"" 1171 2494",RLX
CP075068.1,1039274,1042859,"DTX-incomp_Blc5_Supercontig_3.1_743507_749293_DNA_hAT"" 2197 5784",DTX
CP075068.1,1042869,1045505,"RLX-incomp-chim_Blc38_Supercontig_3.3_902192_925079_DNA_TcMar"" 12074 14711",RLX
CP075068.1,1045506,1047836,"DTX-comp_Blc4_Supercontig_3.4_2942565_2944896_DNA_TcMar_reversed"" 1 2331",DTX
CP075068.1,1047837,1047863,"DTX-incomp-chim_Blc51_Supercontig_3.4_25883_37108_DNA_TcMar_reversed"" 8236 8251",DTX
CP075068.1,1047790,1047868,"DTX-incomp_Blc4_Supercontig_3.5_125080_127537_DNA_TcMar_reversed"" 424 504",DTX
CP075068.1,1047835,1048299,"RLX-incomp_Blc2_Cpos_C735-L-B16-Map1_reversed"" 2640 3104",RLX
CP075068.1,1048252,1048299,"RLX-incomp_Blc42_Cpos_C735-L-B4-Map1"" 4300 4611",RLX
CP075068.1,1048300,1048564,"RLX-incomp_Blc13_Cpos_C735-L-B43-Map1"" 1 265",RLX
CP075068.1,1048562,1053593,"RLX-incomp_Blc2_Cpos_C735-B-R6-Map20"" 3099 8128",RLX
CP075068.1,1053594,1064215,"RLX-comp_Blc17_Cpos_C735-B-R8-Map12"" 2 10630",RLX
CP075068.1,1064216,1064335,"RLX-incomp_Blc17_Cpos_C735-L-B11-Map1_reversed"" 8173 8291",RLX
CP075068.1,1064336,1071926,"RLX-incomp_Blc14_Supercontig_3.4_2918750_2926335_LTR_Gypsy_reversed"" 1 7585",RLX
CP075068.1,1071928,1072297,"RLX-comp-chim_Blc2_Cpos_C735-L-B7-Map1"" 10796 11165",RLX
CP075068.1,1072298,1079804,"RLX-incomp_Blc18_Supercontig_3.4_2910675_2918379_LTR_Gypsy_reversed"" 1 7704",RLX
CP075068.1,1079806,1081776,"RLX-incomp_Blc25_Supercontig_3.5_161224_171774_LTR_Gypsy"" 8581 10550",RLX
CP075068.1,1081777,1084043,"DTX-incomp_Blc5_Supercontig_3.2_1246446_1252277_DNA_hAT_reversed"" 1 2241",DTX
CP075068.1,1084044,1084209,"RLX-incomp_Blc7_Cpos_C735-L-B49-Map1"" 1013 1178",RLX
CP075068.1,1084135,1084484,"RLX-comp-chim_Blc71_Cpos_C735-L-B36-Map1"" 6592 6870",RLX
CP075068.1,1084485,1091462,"RLX-incomp_Blc13_Cpos_C735-B-G62-Map4"" 4 6960",RLX
CP075068.1,1091463,1093801,"RLX-incomp-chim_Blc44_Cpos_C735-L-B6-Map1_reversed"" 215 2527",RLX
CP075068.1,1093802,1094102,"RLX-comp_Blc1_Cpos_C735-B-G68-Map6_reversed"" 2 302",RLX
CP075068.1,1094100,1096470,"RLX-incomp_Blc27_Supercontig_3.3_1806402_1813322_LTR_Gypsy_reversed"" 1925 4293",RLX
CP075068.1,1096471,1103539,"RLX-comp_Blc1_Cpos_C735-B-G68-Map6_reversed"" 2 7072",RLX
CP075068.1,1103540,1105474,"DTX-incomp-chim_Blc39_Supercontig_3.3_4270292_4291141_DNA_hAT_reversed"" 8674 10616",DTX
CP075068.1,1105380,1105491,"DTX-incomp-chim_Blc45_Supercontig_3.5_3367237_3380922_DNA_TcMar"" 5722 5827",DTX
CP075068.1,1105460,1106044,"RLX-incomp_Blc107_Cpos_C735-L-B50-Map1_reversed"" 2 580",RLX
CP075068.1,1108261,1110006,"DTX-incomp_Blc66_Supercontig_3.3_1567878_1576797_DNA_TcMar"" 5600 7291",DTX
CP075068.1,1111341,1113149,"DTX-incomp_Blc16_Cpos_C735-B-G25-Map4_reversed"" 3 1812",DTX
CP075068.1,1113280,1113480,"DTX-incomp-chim_Blc84_Supercontig_3.3_1764626_1772066_DNA_TcMar"" 1 201",DTX
CP075068.1,1117656,1119269,"RLX-incomp_Blc144_Cpos_C735-B-R127-Map4"" 2427 4040",RLX
CP075068.1,1120456,1120714,"DTX-incomp_Blc157_Supercontig_3.4_1543096_1546512_DNA_TcMar"" 2331 2588",DTX
CP075068.1,1215563,1216308,"DTX-incomp_Blc62_Supercontig_3.1_2730559_2740891_DNA_TcMar_reversed"" 6641 7225",DTX
CP075068.1,1222526,1222870,"DTX-incomp-chim_Blc152_Supercontig_3.5_106348_109975_DNA_TcMar"" 2164 2523",DTX
CP075068.1,1299671,1301896,"RLX-comp_Blc3_Supercontig_3.1_365926_371204_LTR_Copia"" 1 1471",RLX
CP075068.1,1301778,1301915,"RLX-incomp_Blc227_Cpos_C735-B-G21-Map18_reversed"" 244 384",RLX
CP075068.1,1310654,1311111,"RLX-incomp-chim_Blc2_Cpos_C735-B-G77-Map20_reversed"" 8531 8993",RLX
CP075068.1,1311114,1311260,"RLX-comp_Blc2_Cpos_C735-L-B25-Map1_reversed"" 9337 9483",RLX
CP075068.1,1311230,1311329,"RLX-incomp_Blc2_Cpos_C735-L-B16-Map1_reversed"" 9484 9639",RLX
CP075068.1,1311340,1311955,"DTX-comp-chim_Blc5_Supercontig_3.3_34249_41103_DNA_hAT_reversed"" 2045 2646",DTX
CP075068.1,1321354,1323160,"DTX-incomp_Blc16_Cpos_C735-B-G25-Map4_reversed"" 3 1810",DTX
CP075068.1,1379329,1379534,"DTX-incomp_Blc157_Supercontig_3.4_1543096_1546512_DNA_TcMar"" 3066 3268",DTX
CP075068.1,1384840,1389717,"DTX-incomp_Blc113_Supercontig_3.4_2361751_2367018_DNA_TcMar_reversed"" 1 4808",DTX
CP075068.1,1389708,1390097,"DTX-incomp_Blc113_Supercontig_3.4_2361751_2367018_DNA_TcMar_reversed"" 4878 5267",DTX
CP075068.1,1399841,1399922,"DTX-incomp-chim_Blc72_Supercontig_3.1_269536_278228_DNA_hAT_reversed"" 8127 8203",DTX
CP075068.1,1399954,1399976,"DTX-incomp-chim_Blc72_Supercontig_3.1_269536_278228_DNA_hAT_reversed"" 8104 8126",DTX
CP075068.1,1412492,1412560,"RIX-incomp_Blc22_Cpos_C735-B-G43-Map6"" 2535 2600",RIX
CP075068.1,1461852,1461915,"RLX-incomp-chim_Blc38_Supercontig_3.3_902192_925079_DNA_TcMar"" 4068 4129",RLX
CP075068.1,1506408,1506557,"RLX-comp_Blc2_Cpos_C735-L-B19-Map1"" 5416 5564",RLX
CP075068.1,1506457,1507095,"RLX-incomp_Blc12_Supercontig_3.1_732927_743506_LTR_Gypsy_reversed"" 5352 5975",RLX
CP075068.1,1541451,1541622,"RIX-incomp_Blc9_Cpos_C735-B-R58-Map20"" 6556 6726",RIX
CP075068.1,1541621,1541706,"DTX-incomp-chim_Blc116_Supercontig_3.1_483399_488504_DNA_hAT_reversed"" 1949 2050",DTX
CP075068.1,1597327,1597340,"DYX-incomp-chim_Blc47_Supercontig_3.1_6563877_6576065_DNA_hAT"" 5856 5869",DYX
CP075068.1,1597341,1598464,"DTX-incomp_Blc231_Cpos_C735-B-R37-Map3_reversed"" 3 1126",DTX
CP075068.1,1598471,1604475,"RLX-comp_Blc1_Cpos_C735-B-G68-Map6_reversed"" 3 6008",RLX
CP075068.1,1604476,1611431,"RLX-incomp_Blc13_Cpos_C735-L-B43-Map1"" 1 6957",RLX
CP075068.1,1611432,1612500,"RLX-comp_Blc1_Cpos_C735-B-G68-Map6_reversed"" 6004 7072",RLX
CP075068.1,1612500,1613277,"DTX-incomp_Blc247_Cpos_C735-B-G102-Map4_reversed"" 1 778",DTX
CP075068.1,1702842,1703016,"DTX-incomp-chim_Blc84_Supercontig_3.3_1764626_1772066_DNA_TcMar"" 1 175",DTX
CP075068.1,1706816,1708429,"RLX-incomp_Blc144_Cpos_C735-B-R127-Map4"" 2427 4040",RLX
CP075068.1,1709701,1709974,"DTX-incomp_Blc157_Supercontig_3.4_1543096_1546512_DNA_TcMar"" 2331 2604",DTX
